id, version, date, weathercitycode, weathertype, high, low, wind, icon, isnight, issuetime
"402881e722964d2c012296549c6000b9","0","2009-07-22","54901","Very Hot","34","22"," WNW 13km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c6000ba","0","2009-07-23","54901","Sunny","30","18"," WNW 19km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c6000bb","0","2009-07-24","54901","Sunny","28","17"," NNE 11km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c6000bc","0","2009-07-25","54901","Sunny","32","19"," NNW 10km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c6000bd","0","2009-07-26","54901","Very Hot","35","23"," WNW 14km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c6000be","0","2009-07-20","54912","Hot and Humid","36","28"," S 26km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000bf","0","2009-07-21","54912","30% Chance Rain Shower","36","30"," SW 19km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000c0","0","2009-07-22","54912","Hot and Humid","34","29"," SW 23km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000c1","0","2009-07-23","54912","Hot and Humid","36","29"," SW 24km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000c2","0","2009-07-24","54912","Hot and Humid","36","31"," SW 21km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000c3","0","2009-07-25","54912","30% Chance Rain Shower","34","31"," SW 19km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000c4","0","2009-07-26","54912","Hot and Humid","41","32"," SW 19km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000c5","0","2009-07-20","54924","Rain","25","22"," WSW 14km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c6000c6","0","2009-07-21","54924","30% Chance Rain Shower","27","19"," ENE 11km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000c7","0","2009-07-22","54924","Rain","28","18"," ESE 23km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c6000c8","0","2009-07-23","54924","Hot and Humid","32","19"," N 11km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000c9","0","2009-07-24","54924","30% Chance of Storms","27","20"," SSE 10km/h","cond093.gif","false","12:00"
"402881e722964d2c012296549c6000ca","0","2009-07-25","54924","Hazy","24","19"," ESE 14km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c6000cb","0","2009-07-26","54924","30% Chance Rain Shower","25","19"," SW 19km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000cc","0","2009-07-20","54926","Hazy","30","26"," S 21km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c6000cd","0","2009-07-21","54926","Rain","31","27"," S 16km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c6000ce","0","2009-07-22","54926","Hot and Humid","31","27"," S 14km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000cf","0","2009-07-23","54926","30% Chance Rain Shower","31","27"," SSW 13km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000d0","0","2009-07-24","54926","Hazy","31","27"," SW 13km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c6000d1","0","2009-07-25","54926","Hazy","31","27"," WSW 11km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c6000d2","0","2009-07-26","54926","Hot and Humid","35","27"," W 6km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000d3","0","2009-07-20","54927","Hot and Humid","35","29"," SW 29km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000d4","0","2009-07-21","54927","Hot and Humid","34","28"," WSW 26km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000d5","0","2009-07-22","54927","30% Chance Rain Shower","30","28"," W 24km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c6000d6","0","2009-07-23","54927","Cloudy","28","27"," WSW 27km/h","cond001.gif","false","12:00"
"402881e722964d2c012296549c6000d7","0","2009-07-24","54927","30% Chance Rain Shower","29","25"," NNE 11km/h","cond108.gif","false","12:00"
